position,name,username,rank,rating,highest_rank,highest_rating,matches_played,season,id
1,MOSES,Moses,Platinum I,1755,Platinum I,1761,276,season3,78446
2,FOREHEAD,forehead,Gold III,1735,Platinum I,1757,44,season3,147030
3,BLEGH,blegh,Gold III,1725,Platinum I,1745,43,season3,374530
4,KOBBIE MAYNOO,Kobbie Maynoo,Gold III,1714,Gold III,1728,166,season3,104294
5,JONNY JAMES,jonny James,Gold III,1714,Gold III,1730,157,season3,104293
6,BACCY,baccy,Gold III,1696,Platinum I,1765,143,season3,154
7,YENAKIS,yenakis,Gold III,1694,Gold III,1737,257,season3,516
8,JOEY,JOEY,Gold III,1693,Gold III,1693,28,season3,1701839
9,ZUZA,zuza,Gold III,1688,Gold III,1726,415,season3,231086
10,TRUG,Trug,Gold III,1687,Gold III,1699,90,season3,648
11,SILLYSAUSAGE,sillysausage,Gold III,1675,Platinum I,1758,253,season3,866634
12,END5D,end5d,Gold III,1670,Gold III,1673,35,season3,325
13,DOOT,DooT,Gold III,1667,Gold III,1706,93,season3,513063
14,HAELNORR,Haelnorr,Gold III,1667,Gold III,1679,38,season3,1322560
15,MIQEL,MiqeL,Gold III,1662,Gold III,1674,44,season3,625139
16,SPAR,Spar,Unranked,1653,,,9,season3,66
17,JDB,JDB,Gold II,1651,Gold III,1690,244,season3,889215
18,DUMB,Dumb,Gold II,1648,Gold III,1670,221,season3,918088
19,LEBEN JAMES,Leben James,Gold II,1643,Platinum I,1792,356,season3,851143
20,HIPPOHUGGER4000,HippoHugger4000,Gold II,1642,Gold III,1662,90,season3,438631
21,SENIOR JORGE,Senior Jorge,Gold II,1635,Gold III,1689,85,season3,149686
22,ARF,arf,Gold II,1634,Gold II,1644,71,season3,1085317
23,GECKO,gecko,Gold II,1627,Gold III,1695,123,season3,462563
24,DUC NHAN,duc nhan,Gold II,1618,Gold II,1628,96,season3,182
25,KEVIN FOOD & DRINK,kevin food & drink,Gold II,1616,Gold III,1671,29,season3,374559
26,ZENONIX,zenonix,Gold II,1613,Gold II,1622,154,season3,1243647
27,WILLZZ,willzz,Gold II,1607,Gold III,1678,58,season3,1004826
28,N1Q,N1Q,Gold II,1605,Gold II,1605,11,season3,157
29,DANDY,Dandy,Gold II,1597,Gold II,1610,173,season3,156
30,EL MOSHYO,El MoshyO,Unranked,1597,,,5,season3,1022964
31,ALFIE,alfie,Gold II,1594,Platinum I,1744,503,season3,440
32,UNC,unc,Gold I,1569,Gold I,1569,12,season3,384090
33,CHEBS,Chebs,Gold I,1568,Gold II,1614,27,season3,598
34,CORZO,Corzo,Gold I,1561,Gold II,1603,14,season3,830525
35,COOPER FLAGG ENTHUSIAST,Cooper Flagg Enthusiast,Gold I,1554,Gold I,1554,18,season3,1085421
36,KAIDANCLAIRO,kaidan,Gold I,1552,Gold II,1602,153,season3,935509
37,COWARMY33,CowArmy33,Gold I,1552,Gold II,1592,14,season3,124044
38,JOSHUAJOSHUA,JoshuaJoshua,Gold I,1548,Gold II,1621,18,season3,429652
39,JACKO,jacko,Gold I,1545,Gold II,1612,17,season3,660936
40,AMUSINGDOLPHIN,AmusingDolphin,Gold I,1535,Gold II,1580,19,season3,1006482
41,BADZA,Badza,Gold I,1532,Gold II,1650,34,season3,417674
42,MELLOW,mellow,Gold I,1522,Gold II,1584,168,season3,2054959
43,ERSON 2,erson 2,Gold I,1522,Gold II,1622,70,season3,1103112
44,MASSIVELEGEND,MassiveLegend,Gold I,1515,Gold I,1563,54,season3,91687
45,XDXAVKING,xdxavking,Gold I,1501,Gold I,1520,14,season3,2108991
46,ZABLAXX,zablaxx,Gold I,1495,Gold I,1495,28,season3,277948
47,ANTSPANTS444,antspants444,Unranked,1484,,,4,season3,2108992
48,USUGI VAMO,USUGI VAMO,Unranked,1484,,,4,season3,2113611
49,WANG KING,Wang King,Silver III,1478,Silver III,1478,12,season3,2112339
50,DADDY KERMIT,Daddy Kermit,Silver III,1467,Gold I,1514,29,season3,464051
51,AYTREENA,Aytreena,Silver III,1466,Gold I,1500,18,season3,387542
52,BREAD DURST,Bread Durst,Unranked,1460,,,1,season3,1107322
53,PAPERMAN4020,Paperman4020,Unranked,1446,,,6,season3,2115464
54,KEAN,Kean,Unranked,1440,,,6,season3,1524280
55,ANTARCTIC,Antarctic,Unranked,1440,,,3,season3,1629618
56,4,4,Unranked,1399,,,4,season3,2119413
57,DOGEMAN,dogeman,Unranked,1379,,,1,season3,2118162
58,SUPERROG,SuperRog,Unranked,1378,,,1,season3,1828608
59,MARTIN,martin,Unranked,1376,,,1,season3,620
60,KITTY KITTY,Kitty Kitty,Unranked,1375,,,6,season3,1107113
61,COOPER,cooper,Silver I,1362,Silver I,1362,11,season3,147
62,THE LAEGEND MOOSE,The Laegend Moose,Unranked,1360,,,4,season3,2116990
63,BOBS BAKERY,Bobs Bakery,Unranked,1343,,,5,season3,970519
64,ROBOPORK,robopork,Unranked,1342,,,2,season3,577268
65,RECYCLEJEFF,RecycleJeff,Unranked,1333,,,3,season3,2119421
